home_team,away_team,spread
Michigan,Oklahoma,5.5
Kansas State,Washington State,-19.5
Oklahoma State,Oregon,22.5
Texas A&M,Arizona State,-14.5
Minnesota,Mississippi State,-0.5
Pittsburgh,UCF,-6.5
BYU,Arizona,-7.5
Illinois,Duke,-5.5
Kentucky,Alabama,10.5
Georgia Tech,Tennessee,12.5
Iowa,Iowa State,-13.5
Texas,Ohio State,-1.5
Utah,Arkansas,-12.5
